scaler,train_mean,train_std,test_mean,test_std
No Scaling,0.97,0.007453559924999275,0.9666666666666666,0.0235702260395516
StandardScaler,0.9533333333333334,0.004564354645876451,0.9533333333333334,0.04472135954999579
RobustScaler,0.945,0.007453559924999325,0.9333333333333333,0.023570226039551556
MinMaxScaler,0.9416666666666667,0.010206207261596592,0.9266666666666667,0.03651483716701108
Normalizer,0.9033333333333333,0.036609804394147974,0.9133333333333333,0.06055300708194985
